series,t_seconds,value
proactive (this run),4334.648,0.992365
proactive (this run),4342.000,0.992358
proactive (this run),4345.575,0.992378
proactive (this run),4360.697,0.992377
proactive (this run),4372.511,0.992389
proactive (this run),4376.119,0.992348
proactive (this run),4386.553,0.992342
proactive (this run),4394.645,0.992324
proactive (this run),4405.129,0.992328
proactive (this run),4411.252,0.992302
proactive (this run),4418.595,0.992295
proactive (this run),4430.021,0.992289
proactive (this run),4437.677,0.992295
proactive (this run),4440.795,0.992330
proactive (this run),4449.843,0.992324
proactive (this run),4459.420,0.992324
proactive (this run),4466.690,0.992336
proactive (this run),4472.772,0.992330
proactive (this run),4483.531,0.992342
proactive (this run),4489.151,0.992347
proactive (this run),4495.316,0.992331
proactive (this run),4503.579,0.992307
proactive (this run),4508.432,0.992311
proactive (this run),4516.694,0.992311
proactive (this run),4521.125,0.992331
proactive (this run),4529.747,0.992331
proactive (this run),4537.963,0.992342
proactive (this run),4548.463,0.992358
proactive (this run),4561.575,0.992377
proactive (this run),4568.799,0.992382
proactive (this run),4575.021,0.992365
proactive (this run),4583.412,0.992355
proactive (this run),4587.608,0.992371
proactive (this run),4596.314,0.992377
proactive (this run),4607.066,0.992389
proactive (this run),4610.372,0.992348
proactive (this run),4624.123,0.992342
proactive (this run),4632.338,0.992324
proactive (this run),4643.469,0.992328
proactive (this run),4651.269,0.992302
proactive (this run),4659.863,0.992282
proactive (this run),4669.112,0.992268
proactive (this run),4678.316,0.992295
proactive (this run),4682.128,0.992330
proactive (this run),4690.058,0.992324
proactive (this run),4699.817,0.992324
proactive (this run),4706.752,0.992336
proactive (this run),4713.975,0.992330
proactive (this run),4724.780,0.992342
proactive (this run),4733.715,0.992348
proactive (this run),4737.275,0.992331
proactive (this run),4746.175,0.992307
proactive (this run),4755.067,0.992313
proactive (this run),4763.535,0.992318
proactive (this run),4767.625,0.992330
proactive (this run),4775.981,0.992342
proactive (this run),4784.779,0.992342
proactive (this run),4795.241,0.992354
proactive (this run),4805.741,0.992377
proactive (this run),4813.238,0.992377
proactive (this run),4816.343,0.992365
proactive (this run),4825.279,0.992365
proactive (this run),4829.911,0.992371
proactive (this run),4837.525,0.992377
proactive (this run),4848.214,0.992389
proactive (this run),4852.006,0.992363
proactive (this run),4860.048,0.992347
proactive (this run),4866.964,0.992331
proactive (this run),4874.789,0.992316
proactive (this run),4879.397,0.992321
proactive (this run),4889.124,0.992316
proactive (this run),4897.077,0.992300
proactive (this run),4905.643,0.992295
proactive (this run),4909.236,0.992311
proactive (this run),4918.079,0.992326
proactive (this run),4928.074,0.992324
proactive (this run),4935.783,0.992336
proactive (this run),4942.597,0.992330
proactive (this run),4949.478,0.992342
proactive (this run),4958.563,0.992348
proactive (this run),4963.403,0.992331
proactive (this run),4971.862,0.992307
proactive (this run),4979.829,0.992313
proactive (this run),4990.503,0.992318
proactive (this run),4994.174,0.992331
proactive (this run),5001.739,0.992331
proactive (this run),5012.597,0.992342
proactive (this run),5022.952,0.992354
proactive (this run),5031.406,0.992377
proactive (this run),5038.366,0.992377
proactive (this run),5041.392,0.992365
proactive (this run),5048.525,0.992358
proactive (this run),5056.139,0.992371
proactive (this run),5062.476,0.992377
proactive (this run),5072.262,0.992384
proactive (this run),5076.317,0.992363
proactive (this run),5085.254,0.992347
proactive (this run),5098.506,0.992324
proactive (this run),5109.660,0.992328
proactive (this run),5114.580,0.992324
proactive (this run),5123.260,0.992282
proactive (this run),5135.781,0.992268
proactive (this run),5145.535,0.992287
proactive (this run),5148.914,0.992328
proactive (this run),5156.523,0.992324
proactive (this run),5164.385,0.992324
proactive (this run),5171.030,0.992336
proactive (this run),5179.140,0.992330
proactive (this run),5186.686,0.992342
proactive (this run),5195.712,0.992347
proactive (this run),5199.193,0.992331
proactive (this run),5207.916,0.992337
proactive (this run),5214.632,0.992311
proactive (this run),5222.013,0.992311
proactive (this run),5227.319,0.992331
proactive (this run),5234.852,0.992331
proactive (this run),5247.835,0.992342
proactive (this run),5256.302,0.992354
proactive (this run),5265.367,0.992377
proactive (this run),5273.464,0.992377
proactive (this run),5277.145,0.992365
proactive (this run),5286.155,0.992365
proactive (this run),5289.960,0.992371
proactive (this run),5298.104,0.992377
proactive (this run),5314.546,0.992389
proactive (this run),5319.428,0.992348
proactive (this run),5335.182,0.992335
proactive (this run),5344.296,0.992335
proactive (this run),5353.295,0.992303
proactive (this run),5358.462,0.992287
proactive (this run),5367.198,0.992282
proactive (this run),5374.914,0.992268
proactive (this run),5384.227,0.992295
proactive (this run),5387.501,0.992330
proactive (this run),5396.764,0.992324
proactive (this run),5406.711,0.992324
proactive (this run),5415.872,0.992336
proactive (this run),5422.734,0.992330
proactive (this run),5431.024,0.992342
proactive (this run),5437.892,0.992348
proactive (this run),5441.261,0.992331
proactive (this run),5451.816,0.992307
proactive (this run),5457.511,0.992313
proactive (this run),5468.051,0.992318
proactive (this run),5471.987,0.992331
proactive (this run),5479.286,0.992331
proactive (this run),5488.477,0.992342
proactive (this run),5499.220,0.992354
proactive (this run),5511.690,0.992377
proactive (this run),5522.712,0.992382
proactive (this run),5526.468,0.992365
proactive (this run),5534.569,0.992355
proactive (this run),5538.617,0.992371
proactive (this run),5547.561,0.992377
proactive (this run),5561.596,0.992375
proactive (this run),5566.910,0.992348
proactive (this run),5581.003,0.992342
proactive (this run),5587.556,0.992335
proactive (this run),5598.289,0.992328
proactive (this run),5604.558,0.992302
proactive (this run),5614.523,0.992282
proactive (this run),5623.847,0.992268
proactive (this run),5632.356,0.992295
proactive (this run),5635.420,0.992330
proactive (this run),5642.963,0.992324
proactive (this run),5650.675,0.992324
proactive (this run),5655.686,0.992326
proactive (this run),5663.026,0.992326
proactive (this run),5670.442,0.992331
proactive (this run),5677.353,0.992347
proactive (this run),5681.385,0.992332
proactive (this run),5691.330,0.992337
proactive (this run),5697.628,0.992311
proactive (this run),5705.220,0.992311
proactive (this run),5709.472,0.992323
proactive (this run),5718.078,0.992331
proactive (this run),5729.510,0.992342
proactive (this run),5740.316,0.992354
proactive (this run),5753.486,0.992375
proactive (this run),5761.159,0.992382
proactive (this run),5766.836,0.992375
proactive (this run),5775.046,0.992355
proactive (this run),5779.665,0.992375
proactive (this run),5789.394,0.992377
proactive (this run),5802.551,0.992375
proactive (this run),5807.364,0.992348
proactive (this run),5820.101,0.992342
proactive (this run),5827.727,0.992335
proactive (this run),5836.083,0.992328
proactive (this run),5840.840,0.992302
proactive (this run),5853.531,0.992282
proactive (this run),5860.574,0.992289
proactive (this run),5870.400,0.992295
proactive (this run),5873.090,0.992330
proactive (this run),5879.997,0.992326
proactive (this run),5888.513,0.992324
proactive (this run),5896.231,0.992336
proactive (this run),5904.813,0.992330
proactive (this run),5912.209,0.992331
proactive (this run),5922.640,0.992348
proactive (this run),5926.248,0.992331
proactive (this run),5934.823,0.992307
proactive (this run),5941.005,0.992313
proactive (this run),5949.318,0.992318
proactive (this run),5953.352,0.992331
proactive (this run),5962.587,0.992331
proactive (this run),5972.556,0.992342
proactive (this run),5982.447,0.992358
proactive (this run),5992.009,0.992377
proactive (this run),6001.293,0.992382
proactive (this run),6005.951,0.992365
proactive (this run),6016.957,0.992355
proactive (this run),6020.898,0.992371
proactive (this run),6028.520,0.992377
proactive (this run),6041.139,0.992389
proactive (this run),6046.384,0.992348
proactive (this run),6055.650,0.992342
proactive (this run),6065.726,0.992324
proactive (this run),6076.764,0.992324
proactive (this run),6084.074,0.992302
proactive (this run),6092.228,0.992282
proactive (this run),6100.841,0.992289
proactive (this run),6109.768,0.992295
proactive (this run),6113.004,0.992330
proactive (this run),6122.642,0.992324
proactive (this run),6132.572,0.992324
proactive (this run),6139.927,0.992336
proactive (this run),6147.580,0.992330
proactive (this run),6157.629,0.992342
proactive (this run),6164.612,0.992348
proactive (this run),6168.534,0.992331
proactive (this run),6179.377,0.992307
proactive (this run),6186.013,0.992313
proactive (this run),6194.439,0.992318
