series,t_seconds,value
spillover,3187.283,0.992371
spillover,3195.953,0.992377
spillover,3205.584,0.992389
spillover,3210.705,0.992348
spillover,3219.241,0.992347
spillover,3225.985,0.992331
spillover,3232.953,0.992316
spillover,3238.134,0.992321
spillover,3245.928,0.992316
spillover,3253.815,0.992300
spillover,3260.701,0.992295
spillover,3262.159,0.992323
spillover,3267.823,0.992309
spillover,3277.511,0.992318
spillover,3285.867,0.992318
spillover,3292.930,0.992318
spillover,3300.430,0.992331
spillover,3306.549,0.992347
spillover,3308.692,0.992332
spillover,3317.261,0.992337
spillover,3324.705,0.992311
spillover,3332.958,0.992311
spillover,3337.746,0.992331
spillover,3347.667,0.992331
spillover,3355.903,0.992342
spillover,3365.841,0.992358
spillover,3376.729,0.992377
spillover,3381.711,0.992377
spillover,3384.943,0.992365
spillover,3393.728,0.992365
spillover,3397.660,0.992378
spillover,3405.881,0.992373
spillover,3418.277,0.992389
spillover,3422.340,0.992363
spillover,3432.401,0.992347
spillover,3438.338,0.992331
spillover,3447.043,0.992324
spillover,3450.875,0.992321
spillover,3457.235,0.992316
spillover,3464.554,0.992300
spillover,3471.927,0.992295
spillover,3479.602,0.992311
spillover,3486.186,0.992326
spillover,3494.531,0.992316
spillover,3501.828,0.992326
spillover,3508.381,0.992326
spillover,3514.548,0.992331
spillover,3521.213,0.992347
spillover,3523.637,0.992332
spillover,3534.092,0.992337
spillover,3542.428,0.992311
spillover,3548.242,0.992311
spillover,3550.875,0.992323
spillover,3557.330,0.992332
spillover,3564.735,0.992332
spillover,3574.454,0.992356
spillover,3587.618,0.992377
spillover,3593.885,0.992378
spillover,3597.368,0.992363
spillover,3603.820,0.992358
spillover,3606.892,0.992370
spillover,3615.960,0.992373
spillover,3630.012,0.992389
spillover,3634.097,0.992363
spillover,3645.970,0.992347
spillover,3653.276,0.992331
spillover,3660.447,0.992324
spillover,3665.977,0.992324
spillover,3671.170,0.992295
spillover,3680.299,0.992289
spillover,3687.683,0.992295
spillover,3697.411,0.992295
spillover,3706.940,0.992283
spillover,3713.796,0.992295
spillover,3721.580,0.992295
spillover,3729.261,0.992301
spillover,3735.344,0.992318
spillover,3739.366,0.992305
spillover,3748.813,0.992307
spillover,3759.201,0.992313
