series,minute_center,count
proactive (primary),558.500,1
proactive (primary),559.500,1
proactive (primary),560.500,1
proactive (primary),561.500,1
proactive (primary),562.500,0
proactive (primary),563.500,1
proactive (primary),564.500,1
proactive (primary),565.500,0
proactive (primary),566.500,1
proactive (primary),567.500,1
proactive (primary),568.500,1
proactive (primary),569.500,1
proactive (primary),570.500,0
proactive (primary),571.500,1
proactive (primary),572.500,1
proactive (primary),573.500,1
proactive (primary),574.500,1
proactive (primary),575.500,1
proactive (primary),576.500,1
proactive (primary),577.500,1
proactive (primary),578.500,0
proactive (primary),579.500,1
proactive (primary),580.500,1
proactive (primary),581.500,1
proactive (primary),582.500,1
proactive (primary),583.500,1
proactive (primary),584.500,0
proactive (primary),585.500,1
proactive (primary),586.500,1
