series,t_seconds,value
primary,23536.313,0.992295
primary,23563.745,0.992365
primary,23587.485,0.992311
primary,23623.382,0.992326
primary,23649.262,0.992365
primary,23682.153,0.992342
primary,23708.080,0.992358
primary,23742.854,0.992389
primary,23773.881,0.992342
primary,23803.063,0.992412
primary,23833.782,0.992404
primary,23861.737,0.992420
primary,23888.202,0.992342
primary,23924.170,0.992272
primary,23948.679,0.992389
primary,23983.593,0.992389
primary,24013.398,0.992412
primary,24039.586,0.992326
primary,24074.426,0.992248
primary,24101.990,0.992295
primary,24132.078,0.992279
primary,24160.157,0.992264
primary,24192.789,0.992272
primary,24224.547,0.992295
primary,24252.501,0.992311
primary,24278.009,0.992342
primary,24359.080,0.992389
primary,24363.056,0.992295
primary,24371.483,0.992326
primary,24403.576,0.992330
primary,24432.067,0.992318
primary,24458.958,0.992358
primary,24494.268,0.992389
primary,24524.065,0.992342
primary,24554.863,0.992412
primary,24584.994,0.992436
primary,24614.152,0.992420
primary,24640.462,0.992342
primary,24672.546,0.992311
primary,24703.531,0.992389
primary,24732.737,0.992436
primary,24766.068,0.992412
primary,24790.835,0.992326
primary,24825.635,0.661540
primary,24854.528,0.496147
primary,24884.824,0.661520
primary,24911.241,0.992264
primary,24944.990,0.992272
primary,24974.423,0.992295
primary,25003.385,0.992311
primary,25030.068,0.992420
primary,25065.866,0.992436
primary,25097.293,0.992272
primary,25122.904,0.992295
primary,25154.955,0.992279
primary,25184.220,0.992295
primary,25212.164,0.992326
primary,25239.844,0.992311
primary,25276.139,0.992295
primary,25302.611,0.992365
primary,25334.975,0.992342
primary,25360.572,0.992358
primary,25396.207,0.992389
primary,25427.135,0.992342
primary,25456.855,0.992412
primary,25486.576,0.992404
primary,25517.988,0.992389
primary,25540.537,0.992342
primary,25576.434,0.992311
primary,25600.733,0.992389
primary,25635.484,0.992389
primary,25670.438,0.992412
primary,25692.206,0.992326
primary,25728.497,0.992311
primary,25755.533,0.992295
primary,25787.956,0.992279
primary,25815.537,0.992272
primary,25846.903,0.992264
primary,25877.913,0.992295
primary,25906.213,0.992311
primary,25930.944,0.992420
primary,25968.729,0.992436
primary,25996.170,0.992272
primary,26024.948,0.992295
primary,26056.794,0.992295
primary,26086.044,0.992295
primary,26114.523,0.992326
primary,26141.065,0.992311
primary,26178.440,0.992295
primary,26206.435,0.992365
primary,26236.590,0.992342
primary,26261.480,0.992358
primary,26295.872,0.992358
primary,26327.785,0.992342
primary,26357.982,0.992412
primary,26388.863,0.992436
primary,26414.312,0.992420
primary,26417.753,0.992420
primary,26461.518,0.992389
primary,26513.828,0.992342
primary,26517.697,0.992459
primary,26524.888,0.992459
primary,26569.409,0.992459
primary,26624.189,0.992342
primary,26633.718,0.992412
primary,26642.641,0.992412
primary,26689.977,0.992459
primary,26695.483,0.992295
primary,26704.783,0.992295
primary,26755.333,0.992248
primary,26760.340,0.992459
primary,26768.872,0.992459
primary,26812.642,0.992459
primary,26858.692,0.992342
primary,26869.523,0.992412
primary,26880.788,0.992412
primary,26927.656,0.992459
primary,26932.563,0.992295
primary,26944.196,0.992295
primary,26997.442,0.992342
primary,27002.869,0.992459
primary,27009.772,0.992459
primary,27054.401,0.992459
primary,27098.308,0.992342
primary,27106.547,0.992412
primary,27118.092,0.992412
primary,27168.125,0.992436
primary,27173.162,0.992295
primary,27182.823,0.992295
primary,27237.469,0.992342
primary,27242.430,0.496230
primary,27249.143,0.496230
primary,27295.578,0.496230
primary,27342.224,0.992342
primary,27353.384,0.992412
primary,27361.673,0.992412
primary,27413.334,0.992459
primary,27419.738,0.992295
primary,27435.596,0.992295
primary,27488.406,0.992342
primary,27492.138,0.992459
primary,27502.476,0.992459
primary,27554.807,0.992201
primary,27565.148,0.992295
primary,27571.751,0.992295
primary,27630.989,0.992389
primary,27640.504,0.992389
primary,27643.589,0.992389
primary,27697.349,0.992365
primary,27707.745,0.992295
primary,27717.009,0.992295
primary,27768.311,0.992295
primary,27778.856,0.992272
primary,27786.130,0.992272
primary,27831.289,0.992295
primary,27840.095,0.992318
primary,27844.337,0.992318
primary,27907.927,0.992248
primary,27918.328,0.992272
primary,27921.503,0.992272
primary,27979.974,0.992248
primary,27986.629,0.992272
primary,27999.270,0.992272
primary,28045.509,0.992318
primary,28055.137,0.992295
primary,28062.480,0.992295
primary,28105.516,0.992342
primary,28114.630,0.661561
primary,28124.223,0.496194
primary,28169.776,0.000000
primary,28181.014,0.496218
primary,28192.531,0.496218
primary,28240.796,0.992318
primary,28251.133,0.992295
primary,28260.550,0.992295
primary,28310.830,0.992342
primary,28320.406,0.992365
primary,28323.834,0.992365
primary,28373.294,0.992365
primary,28382.945,0.992412
primary,28396.514,0.992412
primary,28443.418,0.992436
primary,28449.069,0.992295
primary,28457.466,0.992295
primary,28516.633,0.992342
primary,28520.750,0.992459
primary,28529.249,0.992459
